"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 05, 2021","92,500.0","94,300.0","94,300.0","91,300.0","1.04M","0.65%"
"Jul 02, 2021","91,900.0","89,300.0","92,500.0","88,900.0","3.87M","3.37%"
"Jul 01, 2021","88,900.0","88,100.0","88,900.0","88,000.0","1.70M","1.02%"
"Jun 30, 2021","88,000.0","89,000.0","89,100.0","88,000.0","1.65M","-0.68%"
"Jun 29, 2021","88,600.0","86,600.0","89,000.0","86,300.0","4.90M","3.38%"
"Jun 28, 2021","85,700.0","86,100.0","86,100.0","85,400.0","1.86M","0.59%"
"Jun 25, 2021","85,200.0","84,700.0","85,400.0","84,200.0","1.50M","0.59%"
"Jun 24, 2021","84,700.0","84,300.0","84,900.0","83,900.0","1.66M","-0.24%"
"Jun 23, 2021","84,900.0","85,300.0","85,600.0","84,100.0","1.60M","-0.59%"
"Jun 22, 2021","85,400.0","86,100.0","86,600.0","85,400.0","1.76M","-0.23%"
"Jun 21, 2021","85,600.0","83,600.0","86,300.0","83,200.0","3.88M","2.15%"
"Jun 18, 2021","83,800.0","83,100.0","84,200.0","82,700.0","1.68M","1.45%"
"Jun 17, 2021","82,600.0","82,100.0","83,100.0","82,100.0","2.24M","-0.60%"
"Jun 16, 2021","83,100.0","83,200.0","84,600.0","82,700.0","2.46M","-0.12%"
"Jun 15, 2021","83,200.0","83,800.0","84,500.0","83,200.0","1.78M","-0.72%"
"Jun 14, 2021","83,800.0","83,500.0","84,600.0","83,000.0","2.55M","0.36%"
"Jun 11, 2021","83,500.0","81,500.0","83,900.0","81,300.0","2.36M","1.95%"
"Jun 10, 2021","81,900.0","81,700.0","82,500.0","81,000.0","2.21M","0.24%"
"Jun 09, 2021","81,700.0","80,600.0","82,100.0","79,000.0","3.58M","1.11%"
"Jun 08, 2021","80,800.0","82,000.0","83,000.0","80,600.0","3.49M","-2.30%"
"Jun 07, 2021","82,700.0","84,600.0","84,700.0","81,000.0","3.71M","-2.36%"
